City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
WATERLOO,"271 GREY SILO ROAD UNIT# 44, WATERLOO, ON N2K0E9",N/A,N/A,"$649,900",4,N/A,4,N/A,N/A,N/A
KITCHENER,"164 JACKSON AVENUE, KITCHENER, ON N2H3P4",-80.459725,43.441956,"$824,999",3,N/A,2,N/A,N/A,N/A
WATERLOO,"290 LINCOLN ROAD, WATERLOO, ON N2J2P5",-80.5060195,43.4819518,"$769,900",6,N/A,2,N/A,N/A,N/A
KITCHENER,"64 LANCASTER STREET W, KITCHENER, ON N2H4T2",-80.4830182,43.4608042,"$699,999",3,N/A,2,N/A,N/A,N/A
KITCHENER,"69 HEIMAN STREET, KITCHENER, ON N2M3L8",-80.4876361,43.4341129,"$689,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"31 STIRLING AVENUE N, KITCHENER, ON N2H3G4",-80.4760777,43.4450911,"$725,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"707 JACOB LANE, WATERLOO, ON N2V2A7",-80.5705603,43.4977245,"$749,900",3,N/A,2,N/A,N/A,N/A
WATERLOO,"215 - 258B SUNVIEW STREET, WATERLOO, ON N2L3V9",N/A,N/A,"$536,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"322 DALEVIEW PLACE, WATERLOO, ON N2L5M5",-80.5649408,43.4862831,"$799,900",3,N/A,3,N/A,N/A,N/A
KITCHENER,"232 SHADY GLEN CRESCENT, KITCHENER, ON N2R1P6",-80.4992358,43.3876399,"$1,259,900",5,N/A,5,N/A,N/A,N/A
KITCHENER,"388 OLD HURON ROAD UNIT# 1A, KITCHENER, ON N2R0J6",N/A,N/A,"$365,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"1170 UNION STREET, KITCHENER, ON N2H6K2",-80.4829053,43.4718112,"$649,900",3,N/A,2,N/A,N/A,N/A
WATERLOO,"505 SANDBANKS CRESCENT, WATERLOO, ON N2V2J3",-80.578652,43.495957,"$979,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"19 URBANE BOULEVARD, KITCHENER, ON N2E0H8",N/A,N/A,"$691,990",3,N/A,3,N/A,N/A,N/A
KITCHENER,"122 UPPER MERCER STREET, KITCHENER, ON N2A4N2",-80.4044371,43.4455988,"$695,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"97 RIVERTRAIL AVENUE, KITCHENER, ON N2A0H9",-80.404894,43.4511014,"$1,099,900",4,N/A,4,N/A,N/A,N/A
KITCHENER,"50 SOUTH DRIVE, KITCHENER, ON N2M4B5",-80.5008945,43.4357431,"$730,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"319 VICTORIA STREET S, KITCHENER, ON N2M3A4",-80.5089174,43.4440111,"$649,900",4,N/A,3,N/A,N/A,N/A
WATERLOO,"225 HARVARD PLACE UNIT# 312, WATERLOO, ON N2J4H4",N/A,N/A,"$247,900",1,N/A,1,N/A,N/A,N/A
WATERLOO,"266 WESTCOURT PLACE, WATERLOO, ON N2L2R7",-80.539806,43.4618162,"$499,000",4,N/A,2,N/A,N/A,N/A
KITCHENER,"276 W KING STREET W UNIT# 213, KITCHENER, ON N2G1B6",N/A,N/A,"$333,333",2,N/A,2,N/A,N/A,N/A
WATERLOO,"605 - 308 LESTER STREET, WATERLOO, ON N2L3W6",N/A,N/A,"$330,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"1705 - 35 GREEN VALLEY DRIVE, KITCHENER, ON N2P2A5",-80.4323692,43.3983951,"$445,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"402 HERITAGE DRIVE, KITCHENER, ON N2B3M9",-80.4372555,43.4591612,"$700,000",3,N/A,2,N/A,N/A,N/A
